Service,Resource Count,Total Attributes,Resource Name,Attribute Count
,,,netapp_backup,8
,,,netapp_backup_policy,9
,,,netapp_backup_vault,12
,,,netapp_kmsconfig,6
,,,netapp_storage_pool,19
,,,netapp_volume,64
,,,netapp_volume_quota_rule,9
,,,netapp_volume_replication,18
,,,netapp_volume_snapshot,6

Google_Distributed_Cloud_Edge,3,60,edgecontainer_cluster,38
,,,edgecontainer_node_pool,12
,,,edgecontainer_vpn_connection,10

Identity-Aware_Proxy,15,136,iap_app_engine_service_iam,9
,,,iap_app_engine_version_iam,10
,,,iap_brand,3
,,,iap_client,2
,,,iap_settings,34
,,,iap_tunnel_dest_group,5
,,,iap_tunnel_dest_group_iam,9
,,,iap_tunnel_iam,7
,,,iap_tunnel_instance_iam,9
,,,iap_web_backend_service_iam,8
,,,iap_web_cloud_run_service_iam,9
,,,iap_web_iam,7
,,,iap_web_region_backend_service_iam,9
,,,iap_web_type_app_engine_iam,8
,,,iap_web_type_compute_iam,7

Identity_Platform,8,112,identity_platform_config,49
,,,identity_platform_default_supported_idp_config,5
,,,identity_platform_inbound_saml_config,13
,,,identity_platform_oauth_idp_config,9
,,,identity_platform_tenant,8
,,,identity_platform_tenant_default_supported_idp_config,6
,,,identity_platform_tenant_inbound_saml_config,14
,,,identity_platform_tenant_oauth_idp_config,8

Integration_Connectors,3,100,integration_connectors_connection,86
,,,integration_connectors_endpoint_attachment,7
,,,integration_connectors_managed_zone,7

Kubernetes_(Container)_Engine,2,277,container_cluster,231
,,,container_node_pool,46

ML_Engine,1,8,ml_engine_model,8

Managed_Kafka,5,41,managed_kafka_acl,8
,,,managed_kafka_cluster,7
,,,managed_kafka_connect_cluster,12
,,,managed_kafka_connector,7
,,,managed_kafka_topic,7

Managed_Microsoft_Active_Directory,3,23,active_directory_domain,8
,,,active_directory_domain_trust,8
,,,active_directory_peering,7

Memcache,1,18,memcache_instance,18

Memorystore,2,64,memorystore_instance,51
,,,memorystore_instance_desired_user_created_endpoints,13

Memorystore_(Redis),3,96,redis_cluster,47
,,,redis_cluster_user_created_connections,13
,,,redis_instance,36

Migration_Center,2,32,migration_center_group,6
,,,migration_center_preference_set,26

Model_Armor,2,53,model_armor_floorsetting,24
,,,model_armor_template,29

Network_Connectivity,7,91,network_connectivity_group,6
,,,network_connectivity_hub,7
,,,network_connectivity_internal_range,17
,,,network_connectivity_policy_based_route,14
,,,network_connectivity_regional_endpoint,10
,,,network_connectivity_service_connection_policy,11
,,,network_connectivity_spoke,26

